"reviewerId","asin","reviewerName","reviewerText","overall","reviewTime"
"","","Kindle Customer","OK, I know you get what you paid for but as someone that works from home and uses several screen and a laptop riser, it's essential my mouse and keyboard work properly. The mouse has been tenpemental from day one (yes I have changed the battery) and in the end I've reverted to using a wired mouse again. But over time the keyboard is now typing wrong characters and even taking me to different websites when I'm in the middle of the form. As I've hardly used it for last few months I'm really disappointed to be replacing so soon. Waste of money.","1.0","26 March 2024"
"","","feferri","The keyboard came faulty since the first days. After few days using it started to get a bug. When I am typing anything the window help function is pressed by itself, which is very annoying, opening zillions of windows. I always have to turn off the keyboard and wait for some seconds. It happens several times. Don't try to save buying this brand, pay some pennies more and get a better brand. I missed the refunding time and now cannot return the item and will have to buy a new one. It is the famous dilemma, you get what paid for...","1.0","9 April 2024"
"","","LLCoolJSmith","Vry dsaintng exrinceas prne o signal drop ot UPDATE: The above was written using my Logitech MK270 Wireless Keyboard, the below was written at work using a wired keyboard (a Lenovo if you’re really interested). I always look at negative reviews such as the one I’m about to give as being the irate ramblings of someone who probably isn’t using the item properly or who has unrealistic expectations of it. This keyboard and mouse set has 1,397 five star reviews at time of writing, it obviously works well for a lot of people and chances are it’ll work just fine for you. However, in my experience it is incredibly poor, disappointing so. I really hoped this would be a decent replacement for a stock wireless keyboard and mouse I got bundled with a PC many, many years ago and which I had persisted with through numerous system replacements. However it isn’t. I can say the mouse works 90-95% of the time, but when the 5-10% failure is sporadic in the midst of the 90% perfect functionality it results in a very jerky experience which makes precision mousework impossible. I get it’s not a ‘high end’ mouse but to clarify, my idea of precision mousework is clicking on the correct player on Football Manager. With this mouse I’m in danger of trying to bid on Troy Deeney and ending up buying Claude Dielna. NOT GOOD (Not least as I’m after a striker rather than a defender with an impressive Instagram account but no footballing ability). I also like to dabble on Photoshop, cutting out a mates face and pasting it into various hilarious places, you know, really highbrow entertainment… again this is almost impossible as even with the magic wand tool on Photoshop the jerky mouse movement means I end up picking up a heck of a lot of background or cutting off my mates ear. The keyboard isn’t quite so annoying as I use it far less, however this is also seemingly prone to fallout of signal. Thankfully the wonders of technology are such that when I google ‘whtv happno Ssa Boye’ it recognises what I want to type and brings me the required results, but this is no thanks to the keyboard itself (as an aside, what DID happen to Susan Boyle?!). The cause of the issues are unknown to me, could be any number of wireless signals bouncing around my house which are affecting the signal from the transmitter to the mouse / keyboard. I perhaps could rearrange my PC set up a bit to stop the interference but in this day and age I expect a wireless keyboard and mouse to work well (as my previous one did) and to not have to place my desktop PC in the ensuite to avoid pesky interference. Overall in the nine months I’ve owned and used this keyboard I can say it has had about ten ‘good days’, the rest has been hair pullingly bad and has put me off the idea of wireless mice and keyboards totally to such an extent the reason I’m on Amazon writing this review is that I’m here browsing wired variants. For what its worth the keyboard looks nice and the mouse is comfortable to use. If, like the 1,397 five star reviewers, you don’t have any negative experience then great, otherwise good luck putting together a squad capable of dominating domestically and on the continent with a bunch of players you had no intention of buying. Also do play Overcooked but use a gamepad or your kitchen will be on fire in no time thanks to the intermittent keyboard controls.","1.0","14 November 2017"
"","","Daisymay","First off, I was annoyed the keyboard came in its own packaging with no external coverage, making a desirable product vulnerable if left on the doorstep.  Second there were no instructions apart from a very basic set-up graphic on the box but no explanation of a row of hot keys - which seemed to be self explanatory but might not have been given the main problem I experienced, and couldn't be disabled. My main gripe was the triggering of a Microsoft Help page every time I used the delete key or control shift, or just when it felt it, opening the same page time after time after time. It was driving me insane, it continued opening pages when I was using social media and even worse overriding personal banking logins.  It ignored Block Pop-Up commands, also the connection occasionally cutout even though the WiFi control box is next to my desk.  In frustration, I've returned to my old wired Logitech keyboard and mouse and it hasn't happened since, so the obvious conclusion is that this is a faulty product. On the plus side it was a dream to set up, literally just plugging in the small toggle to a USB port and activating the batteries.  Being WiFi made my desk so much cleaner and less cluttered but I can't trust that it won't happen again, which is why I'm asking for a refund rather than a replacement.","1.0","17 August 2023"
"","","Markgo","Decided to upgrade my wired keyboard to wireless and chose this based on my experience with my existing wireless logitech mouse. What a mistake. The new mouse works as well as the old one but the keyboard either doesn't connect or lags badly and this is from someone who types slowly! My wife, who is a former journalist  types quickly and complains that for her it is terrible. I have searched online for solutions and tried everything such as moving the transmitter to a front usb port, changed settings on the device manager etc but basically is no good and we are reverting to our old wired keyboard. Not recommended","1.0","2 March 2024"
"","","SL","Didn't want to work, keyboard and mouse both suffered input lag and failed inputs from only a few feet away from the device they were plugged into. Seems to have been an issue with the receiver as they worked when right up close to the computer, but that's hardly an ergonomic or convenient setup! Had to send back for a refund, hopefully a different brand will offer more performance/reliability.","1.0","17 April 2024"
"","","David M","Despite being less than 1m from the pc, it still kept losing connection. When I start typing often nothing happens for a few seconds then a string of characters appears on the screen.....with the earliest characters missing. Spoke directly to Logitech but no improvement. App updated automatically, don't know why they bothered. I know from the user forum that many others have the same problem. BUY THIS AT YOUR PERIL. Unfortunately I particularly like old style mechanical keyboards and until now have been unable to find anything. I'm pleased to say I recently bought a new keyboard and mouse of a different brand elsewhere and it's brilliant. Logitech is in the bin. Best place for it.","1.0","19 February 2024"
"","","Malcolm Loades","I had a problem with the mouse randomly losing the scroll ability but left and right clicks still working.  Also randomly, at different times, the keyboard would lose it's connection anf no key presses would work.  After 4 emails from Customer Service I realised that I wasn't talking to a human at all - it's an AI email bot!  Each communication from them indicated that it had picked up on some words whilst totally ignoring others.  For example in one email I said quite clearly that the combo was only 7 days old, the Customer Service reply was to tell me in great detail how to clean the keyboard and mouse as that might cure the problem.  Never again will I buy a Logitech product.","1.0","2 January 2024"
"","","Hossein Eskandari","Hello guys I have bought 4 of this keyboard in the past 8 years. 2 of them ran into dungle issue after a couple of years. I changed the dongle (old type not unified) and the new dongle again became faulty after a couple of years and since it was expensive to buy the dongle in my country, I literally decided to buy a new one in the UK. I was dumb enough to trust this product's quality for the 4th time. Not to my surprise, this one has an issue with the F1 key that another user also mentioned in the comments as you can see. F1 is super sensetive and sometimes when you press F1 it works for a while. Everything else is good with this product considering its price. I like working with it to be honest. I am just so mad as a customer that has bought this keyboard 4 times, I have to face such basic issues in all of them. I mean surely they know the issue in F1 key. How can two guys in the first 10 review of Amazon see the issue but not Logitech!","1.0","24 August 2023"
"","","Piriya","Bought it urgently but it worked quite well up until recently where the mouse and keyboard just stopped working out of nowhere. i am really upset because now I cannot use my monitor. DON'T BUY IT !!!!","1.0","3 April 2024"
"","","Kindle Customer","OK, I know you get what you paid for but as someone that works from home and uses several screen and a laptop riser, it's essential my mouse and keyboard work properly. The mouse has been tenpemental from day one (yes I have changed the battery) and in the end I've reverted to using a wired mouse again. But over time the keyboard is now typing wrong characters and even taking me to different websites when I'm in the middle of the form. As I've hardly used it for last few months I'm really disappointed to be replacing so soon. Waste of money.","1.0","26 March 2024"
"","","feferri","The keyboard came faulty since the first days. After few days using it started to get a bug. When I am typing anything the window help function is pressed by itself, which is very annoying, opening zillions of windows. I always have to turn off the keyboard and wait for some seconds. It happens several times. Don't try to save buying this brand, pay some pennies more and get a better brand. I missed the refunding time and now cannot return the item and will have to buy a new one. It is the famous dilemma, you get what paid for...","1.0","9 April 2024"
"","","LLCoolJSmith","Vry dsaintng exrinceas prne o signal drop ot UPDATE: The above was written using my Logitech MK270 Wireless Keyboard, the below was written at work using a wired keyboard (a Lenovo if you’re really interested). I always look at negative reviews such as the one I’m about to give as being the irate ramblings of someone who probably isn’t using the item properly or who has unrealistic expectations of it. This keyboard and mouse set has 1,397 five star reviews at time of writing, it obviously works well for a lot of people and chances are it’ll work just fine for you. However, in my experience it is incredibly poor, disappointing so. I really hoped this would be a decent replacement for a stock wireless keyboard and mouse I got bundled with a PC many, many years ago and which I had persisted with through numerous system replacements. However it isn’t. I can say the mouse works 90-95% of the time, but when the 5-10% failure is sporadic in the midst of the 90% perfect functionality it results in a very jerky experience which makes precision mousework impossible. I get it’s not a ‘high end’ mouse but to clarify, my idea of precision mousework is clicking on the correct player on Football Manager. With this mouse I’m in danger of trying to bid on Troy Deeney and ending up buying Claude Dielna. NOT GOOD (Not least as I’m after a striker rather than a defender with an impressive Instagram account but no footballing ability). I also like to dabble on Photoshop, cutting out a mates face and pasting it into various hilarious places, you know, really highbrow entertainment… again this is almost impossible as even with the magic wand tool on Photoshop the jerky mouse movement means I end up picking up a heck of a lot of background or cutting off my mates ear. The keyboard isn’t quite so annoying as I use it far less, however this is also seemingly prone to fallout of signal. Thankfully the wonders of technology are such that when I google ‘whtv happno Ssa Boye’ it recognises what I want to type and brings me the required results, but this is no thanks to the keyboard itself (as an aside, what DID happen to Susan Boyle?!). The cause of the issues are unknown to me, could be any number of wireless signals bouncing around my house which are affecting the signal from the transmitter to the mouse / keyboard. I perhaps could rearrange my PC set up a bit to stop the interference but in this day and age I expect a wireless keyboard and mouse to work well (as my previous one did) and to not have to place my desktop PC in the ensuite to avoid pesky interference. Overall in the nine months I’ve owned and used this keyboard I can say it has had about ten ‘good days’, the rest has been hair pullingly bad and has put me off the idea of wireless mice and keyboards totally to such an extent the reason I’m on Amazon writing this review is that I’m here browsing wired variants. For what its worth the keyboard looks nice and the mouse is comfortable to use. If, like the 1,397 five star reviewers, you don’t have any negative experience then great, otherwise good luck putting together a squad capable of dominating domestically and on the continent with a bunch of players you had no intention of buying. Also do play Overcooked but use a gamepad or your kitchen will be on fire in no time thanks to the intermittent keyboard controls.","1.0","14 November 2017"
"","","Daisymay","First off, I was annoyed the keyboard came in its own packaging with no external coverage, making a desirable product vulnerable if left on the doorstep.  Second there were no instructions apart from a very basic set-up graphic on the box but no explanation of a row of hot keys - which seemed to be self explanatory but might not have been given the main problem I experienced, and couldn't be disabled. My main gripe was the triggering of a Microsoft Help page every time I used the delete key or control shift, or just when it felt it, opening the same page time after time after time. It was driving me insane, it continued opening pages when I was using social media and even worse overriding personal banking logins.  It ignored Block Pop-Up commands, also the connection occasionally cutout even though the WiFi control box is next to my desk.  In frustration, I've returned to my old wired Logitech keyboard and mouse and it hasn't happened since, so the obvious conclusion is that this is a faulty product. On the plus side it was a dream to set up, literally just plugging in the small toggle to a USB port and activating the batteries.  Being WiFi made my desk so much cleaner and less cluttered but I can't trust that it won't happen again, which is why I'm asking for a refund rather than a replacement.","1.0","17 August 2023"
"","","Markgo","Decided to upgrade my wired keyboard to wireless and chose this based on my experience with my existing wireless logitech mouse. What a mistake. The new mouse works as well as the old one but the keyboard either doesn't connect or lags badly and this is from someone who types slowly! My wife, who is a former journalist  types quickly and complains that for her it is terrible. I have searched online for solutions and tried everything such as moving the transmitter to a front usb port, changed settings on the device manager etc but basically is no good and we are reverting to our old wired keyboard. Not recommended","1.0","2 March 2024"
"","","SL","Didn't want to work, keyboard and mouse both suffered input lag and failed inputs from only a few feet away from the device they were plugged into. Seems to have been an issue with the receiver as they worked when right up close to the computer, but that's hardly an ergonomic or convenient setup! Had to send back for a refund, hopefully a different brand will offer more performance/reliability.","1.0","17 April 2024"
"","","David M","Despite being less than 1m from the pc, it still kept losing connection. When I start typing often nothing happens for a few seconds then a string of characters appears on the screen.....with the earliest characters missing. Spoke directly to Logitech but no improvement. App updated automatically, don't know why they bothered. I know from the user forum that many others have the same problem. BUY THIS AT YOUR PERIL. Unfortunately I particularly like old style mechanical keyboards and until now have been unable to find anything. I'm pleased to say I recently bought a new keyboard and mouse of a different brand elsewhere and it's brilliant. Logitech is in the bin. Best place for it.","1.0","19 February 2024"
"","","Malcolm Loades","I had a problem with the mouse randomly losing the scroll ability but left and right clicks still working.  Also randomly, at different times, the keyboard would lose it's connection anf no key presses would work.  After 4 emails from Customer Service I realised that I wasn't talking to a human at all - it's an AI email bot!  Each communication from them indicated that it had picked up on some words whilst totally ignoring others.  For example in one email I said quite clearly that the combo was only 7 days old, the Customer Service reply was to tell me in great detail how to clean the keyboard and mouse as that might cure the problem.  Never again will I buy a Logitech product.","1.0","2 January 2024"
"","","Hossein Eskandari","Hello guys I have bought 4 of this keyboard in the past 8 years. 2 of them ran into dungle issue after a couple of years. I changed the dongle (old type not unified) and the new dongle again became faulty after a couple of years and since it was expensive to buy the dongle in my country, I literally decided to buy a new one in the UK. I was dumb enough to trust this product's quality for the 4th time. Not to my surprise, this one has an issue with the F1 key that another user also mentioned in the comments as you can see. F1 is super sensetive and sometimes when you press F1 it works for a while. Everything else is good with this product considering its price. I like working with it to be honest. I am just so mad as a customer that has bought this keyboard 4 times, I have to face such basic issues in all of them. I mean surely they know the issue in F1 key. How can two guys in the first 10 review of Amazon see the issue but not Logitech!","1.0","24 August 2023"
"","","Piriya","Bought it urgently but it worked quite well up until recently where the mouse and keyboard just stopped working out of nowhere. i am really upset because now I cannot use my monitor. DON'T BUY IT !!!!","1.0","3 April 2024"
"","","Amazon Customer","How strange... the numbers are reversed on the number pad on the right-hand side of the keyboard. It should have 1, 2, and 3 at the top, but instead has 7, 8, and 9. If I had known this, I wouldn't have purchased this keyboard. It's not intuitive at all, and now I have to look every time I type. Beware!","1.0","13 March 2024"
"","","The Very Angry Maker","Just to let you know my review is based on my experience with the keyboard only and I did not try the mouse.... so just to let you know. It is with regret that I have to give this keyboard a one star review because I have been a loyal user of Logitech keyboard and mice for the last 15 years plus. I have a considerably more expensive Logitech keyboard on which one of the legs / risers has broken and I don't like typing onto a flat keyboard and didn't want to have to spend yet another £70 on a replacement keyboard so thought I would order this set because I thought surely it will work fine as a basic standard keyboard... I was wrong. The set arrived in an attractive blue box containing both the keyboard, mouse and the USB receiver. As I said I didn't even try the mouse just the keyboard. The keyboard does not work with the Logitech Unifying receiver (that came with my other keyboard and again with my mouse) which is strange so had to use the receiver that came with the set. The keyboard only has one height setting that was quite steep even for someone like me that likes a good angle / steepness to my keyboard which make typing on it quite uncomfortable due to the position the keyboard was forcing my wrists into so if like me you are planning to use this keyboard everyday I would look elsewhere for that reason alone. But the complete deal breaker came because the plastic on the riser legs is too thin and they are placed very close to the edges of the keyboard which makes the keyboard act like a wobbly / rocking restaurant table. The keyboard is on a perfectly flat desk it's just a very poor design / cheapness of materials used that causes the issue so can't imagine another one being any different. I understand this is a budget product but I did expect it to at least sit on a desk with no problems but to rock back and forth pretty much makes this keyboard unusable. In desperation I went to my local Tesco and bought one of their own brand keyboards for £5 and it doesn't rock and has a more pleasant typing angle / height..... I am surprised at Logitech putting out such a poorly designed product even at the lower end of the market but I suppose not every product can be a winner. So it's ultimately up to you if you want to roll the dice on this and see for yourself but honestly if you are going to be using this keyboard even for a little bit daily look elsewhere because this one will drive you crazy.","1.0","24 October 2017"
"","","M. Timothy","It's so annoying to buy a product and then not be able to use it because a part is missing. I've used this product before and loved it, the key board is really comfy and the wireless connection saves a lot of wire mess but without the usb it's a waste of time plus the hassle of returning.","1.0","27 February 2024"
"","","Amazon Customer","I don't like it at all. The keyboard randomly presses its own buttons, the keys are lose, and unstable. The mouse intermittently stops working, I wouldn't recommend this product at all.","1.0","13 April 2024"
"","","Jw Taylor","At fist I was pleased with this but the @""'\|\| are in the wrong place.  If it was just 1 character I could live with it but as there are a few it is not workable.  Is there a way to remedy this or shall I have to return it?","1.0","1 March 2024"
"","","Jana","This keyboard has the keys marked out like a UK keyboard, but in testing it I found several keys in the wrong place and marked incorrectly.","1.0","2 April 2024"
"","","Onemanzoo","Clearly been opened then sent back, then sent on to me. Mouse wouldn't turn on and no receiver/transmitterto plug into pc.. useless!.. returning!","1.0","19 April 2024"
"","","chaits","Few keys stopped working, thought I used that completely for office purposed and I have used that for only few months now","1.0","26 March 2024"
"","","J A Hall","Ordered this set for when I work away from home abroad. Therefore did not use it for 3 months, opened it whilst abroad and the USB that should be inside the mouse was missing and therefore the keyboard and mouse was useless.","1.0","10 March 2024"
"","","Ms V A Harry","Keyboard fine, but mouse stopped working after just 4 months.  Back to wired mouse again, which never lets me down.","1.0","12 April 2024"
"","","PD","Do not buy this if you write reports or essays, as you'll find you've been typing away for 5 mins without being connected. It's the most frustrating keyboard I've ever had. My other bluetooth keyboards have worked fine. In fact, I'm using my old one now to type this. It has barely any letters left visible on the keyboard but I prefer it to the Logitech joke.","1.0","4 February 2024"
"","","Imogen","When I received this the mouse was missing from the box. It had clearly been opened. Sent back.","1.0","26 March 2024"
"","","K.Robinson","Had to return due to the keyboard constantly loosing signal and lagging despite being next to the pc, in direct line of sight. Doesn't look like I'm not the only one that's had this issue unfortunately.","1.0","7 March 2024"
"","","Sean","Keyboard kept pressing the F1 key when typing other characters for no reason. Returned it.","1.0","1 April 2024"
"","","N. Payne","no usb receiver in the box, so i ordered a the logitech one, then even using that neither the keyboard or mouse would work. Hope you get better luck in making it work.","1.0","6 March 2024"
"","","Kev McMahon","Where's the Quality controls, if a box has been opened previously then taped, surely it should be picked up somewhere in the process that it needs the contents confirmed?","1.0","6 March 2024"
